category,filename,file_size_mb,k2a_time_ms,sha256_original,k2a_original,hamming_reencode,hamming_frame_delete,hamming_brightness,hamming_overlay,phash_hamming_reencode,dhash_hamming_reencode
Normal,Normal_Videos_015_x264.mp4,2.761,124.0,0x69e5edb4b88a6f6db47b34b4d42df99b91a9bb35824a57e068c0426c06643b99,0x0000000000000000000000000000000000000000000000006f4067406540e440,0,0,23,0,2,0
Normal,Normal_Videos_050_x264.mp4,34.222,82.9,0x0d6420c4455fd56e205747159e8c2cf97dd50cbc04b35a870090ecad18adbc77,0x0000000000000000000000000000000000000000000000000a402c401d400c00,1,1,28,1,2,3
Normal,Normal_Videos_100_x264.mp4,5.562,103.4,0xb4191e009215168d16309986cb8b3f6d78b9cfb2f9a6016d8ea566584ded4391,0x0000000000000000000000000000000000000000000000004000550000000100,0,1,35,1,0,0
Normal,Normal_Videos_129_x264.mp4,3.564,64.6,0xd0700dd8b538ca372154a9b1d7701930c6301aa9f223be77da998188c06c5b81,0x0000000000000000000000000000000000000000000000000020000008a01400,1,1,42,1,2,4
Normal,Normal_Videos_150_x264.mp4,6.977,76.9,0x9241161d31599a70264edc2dff747030a3a25d4b7a296a7809e1cad28d026aa4,0x000000000000000000000000000000000000000000000000cc000320a320a840,0,0,22,0,0,0
Normal,Normal_Videos_246_x264.mp4,41.168,130.9,0xca9d3d20524a8e2aeb0867dac62c0eac3fc335cd0ccfd65cc5e53d3bcbf6f461,0x00000000000000000000000000000000000000000000000042506c500e5084d0,0,0,13,0,0,2
Normal,Normal_Videos_247_x264.mp4,68.734,77.7,0x7650ebf4bb6a7b3a67270c60b1e42f1e1cb303fb2ed86e4620769d4f91ef65b0,0x000000000000000000000000000000000000000000000000617061d0e4106440,0,0,17,0,0,1
Normal,Normal_Videos_248_x264.mp4,9.726,116.0,0x47f45836335ddb219dc857e7bb50bb0e4b90e1490d201ae35ca1db8ec88f7252,0x000000000000000000000000000000000000000000000000c0808c80c880b800,0,0,23,0,0,2
Normal,Normal_Videos_251_x264.mp4,2.617,77.0,0x362c2d6ef0046e34213a563c7ac7d6d0ba58036e5dd9f69cf53bce94a4d6b8ad,0x000000000000000000000000000000000000000000000000ccc5c0845844c800,0,1,32,0,0,1
Normal,Normal_Videos_289_x264.mp4,6.848,79.4,0xad129739026eb47202dbb2c0a6c65764bce753cff9cef960cdeda02d462a86fe,0x00000000000000000000000000000000000000000000000048330b5307b11b17,0,1,30,4,0,1
Robbery,Robbery001_x264.mp4,5.855,69.5,0x79863df9313468698dfed1280834ac95d68d1b8463aad9fb6eb4655e80c436e0,0x0000000000000000000000000000000000000000000000000000080000000000,0,0,33,0,0,1
Robbery,Robbery002_x264.mp4,8.311,47.4,0x9bdcfd7361726a9e5d3ebc5c5a433a0ede8d97f8dc8abc6d2318292f00bcaf79,0x000000000000000000000000000000000000000000000000372e36ef304e146f,1,0,30,3,0,2
Robbery,Robbery003_x264.mp4,5.641,65.8,0xf57dfa11c1f557f6d0a0a13b78b5a1526c164bf3ed8bebb5ce44a3b9c95e4f1a,0x0000000000000000000000000000000000000000000000001f50dad0ded05cf0,0,0,16,0,0,1
Robbery,Robbery004_x264.mp4,8.176,76.3,0x17529957ddaf65a3dc3306525ccf025406f9567a02c072383a5d2a43971842ae,0x0000000000000000000000000000000000000000000000000188462804004280,1,0,37,0,0,1
Robbery,Robbery005_x264.mp4,14.516,66.7,0xdfea68e67bf1a15d4dcba919e8dfa462189c6dacb047b7445bfeaebbaea22c03,0x0000000000000000000000000000000000000000000000002300b080d0c08ca0,1,0,27,0,2,0
Robbery,Robbery006_x264.mp4,25.344,91.6,0xe15f8d01acb9672fad9c0040c29b7dab5ccceaa8be378d4860dff24aa3eb32ad,0x00000000000000000000000000000000000000000000000000060640020c00c4,2,0,31,1,0,0
Robbery,Robbery007_x264.mp4,14.801,77.8,0xbae20730b5a0d0a2cc2cf5174b4799faf0f6d7c2a94994165df96d33a6ab6baf,0x0000000000000000000000000000000000000000000000000a9f02f91abf11bb,0,1,20,3,0,1
Robbery,Robbery008_x264.mp4,18.172,73.7,0xe2702d9cf1231b64105ae8df12aa84e226005a59eb6cb59f6226ca819da0f55c,0x0000000000000000000000000000000000000000000000002026933ff0ede2f0,0,1,25,3,0,0
Robbery,Robbery009_x264.mp4,18.857,62.6,0x7e9905130cfd62fa0027d6d3b79ea4f8d035354ae4e7eb371647f7d745be4f20,0x000000000000000000000000000000000000000000000000d6b357bf9737563b,1,1,23,4,0,1
Robbery,Robbery010_x264.mp4,24.195,96.4,0x2cb86e2100c209ce8022e8b15c7979403924e148679f7f27b42446e4ee7a0176,0x000000000000000000000000000000000000000000000000a21f467b049f04df,0,0,32,3,0,0
RoadAccidents,RoadAccidents001_x264.mp4,9.003,63.0,0x5d53fefd8e1dd5985081486a4925f566a28bd32725ba4eee40a9b33d2d2f2d29,0x000000000000000000000000000000000000000000000000f100d188c1bdc098,0,0,39,1,0,1
RoadAccidents,RoadAccidents002_x264.mp4,2.783,79.5,0x2125325ef10ed236f1e6ed39796ebc0e990022133d938a5132e89921d680c5e9,0x000000000000000000000000000000000000000000000000f130f11075707750,0,0,7,0,0,0
RoadAccidents,RoadAccidents003_x264.mp4,11.616,78.7,0x8489c11485e88449b8454576b92991f79e669e554e9e1c610b3e2ee69c9aea45,0x000000000000000000000000000000000000000000000000c0c082a082a08268,1,0,40,1,0,2
RoadAccidents,RoadAccidents004_x264.mp4,3.187,78.6,0x982b564861dfaa99b73b96729c0faf5f53d929b311f323738114d82f75bd912e,0x00000000000000000000000000000000000000000000000007214fe04fe04ef0,2,0,35,1,0,0
RoadAccidents,RoadAccidents005_x264.mp4,1.616,66.6,0x656a7c07b64e80928bcfd5a4d3779d19c41f8d2a2def5e73d7670dcf9a8b90a2,0x0000000000000000000000000000000000000000000000000002008088800800,0,0,37,1,2,0
RoadAccidents,RoadAccidents006_x264.mp4,10.15,77.4,0xdaacbef55b21582e081c09ed7d0ab504afe6a2ecec86c6d40ce6c06a47946dc1,0x000000000000000000000000000000000000000000000000e2ffeceeccee8cee,0,1,14,2,0,0
RoadAccidents,RoadAccidents007_x264.mp4,8.647,107.5,0xa28c2b10d0a2bd6123a8f1118d191afca64be6ef0609542563495507ad831ad4,0x0000000000000000000000000000000000000000000000000c8800c0084000d0,1,0,46,0,0,0
RoadAccidents,RoadAccidents008_x264.mp4,9.094,56.7,0xe327cdae184a061503be1194fa5779748d2637a7b13a23a667ad7f3a3d7eb2b4,0x0000000000000000000000000000000000000000000000008088008c08880008,0,1,49,0,0,1
RoadAccidents,RoadAccidents009_x264.mp4,7.117,80.2,0xd3625295a21e3433802216c10efd46bc33bc129d8d0b48046730711a7c508409,0x000000000000000000000000000000000000000000000000efbbeeeeeeeeeae6,1,0,6,3,2,1
RoadAccidents,RoadAccidents010_x264.mp4,3.976,97.8,0xdf10594c3e4d261512f30a8b92ed3537a77a636d7d6c04eb8341acf75197a4f8,0x00000000000000000000000000000000000000000000000074887080e444e8c0,1,1,37,0,0,1
Shoplifting,Shoplifting001_x264.mp4,34.28,95.7,0x7af64fd7e96f81da3f91c9cd4bf531dc2d5968718cdb646822ea9895d71ff060,0x00000000000000000000000000000000000000000000000012bc4abe2aef6ee0,0,2,26,3,0,0
Shoplifting,Shoplifting003_x264.mp4,86.522,109.4,0xf1b14434430832e036c9b43ce979e457913ac50649d2a3bcff7be94c385c4654,0x000000000000000000000000000000000000000000000000789122a0da03d08b,1,0,37,3,0,0
Shoplifting,Shoplifting004_x264.mp4,53.998,83.5,0xc71351aad521f175593838ed3e9b6e681f51ff332cd9c2597244d239b701ed7b,0x0000000000000000000000000000000000000000000000001310131093201201,0,0,30,0,0,0
Shoplifting,Shoplifting005_x264.mp4,15.522,84.9,0xb752e28446de1559726faf7ba41e1b8425e51554fb13640dccfc9906a6bd1193,0x0000000000000000000000000000000000000000000000000248044e28ae28ec,0,0,22,1,0,0
